,0,1,2,3,4
0,15529,Archivo,Tapa de registro de luz para pared,46499,usuario
0,15530,plastic knife,"this design is a knife,it can be used in the kitchen,and print it with the plastic",46649,chris brown
0,15531,Steam locomotive T3 H0,"Railway Locomotive ""Kleinbahnen Grunberg - Sprottau ) Zielona Gora Szprotawa 1921 - 1945",45578,studio3d-jt
0,15532,iPhone 6/6 Plus Stand,"This is a simple and reliable stand that works all of the time to hold your phone upright.
Make sure to check out http://www.3dexfilament.co.uk",46695,3DEX Ltd
0,15533,Lily Flower,"Real flowers don't last forever but this multi-piece 3d printable lily flower will. Print and use for home decor or give as gifts for holidays and special occasions.
Instruction PDF included.
Designer notes:
In photos provided, design was printed with a 0.2 mm layer height, 20% infill, overhangs of 25 degrees, and with supports. 
Additional requirements:
Glue gun for assembly
Bed Volume Minimum
6"" x 6"" x""6/ 150 mm x 150 mm x 150 mm",1394,tanya Wiesner
0,15534,R2D2 Non Electronic Version,"Please watch this video for more information: https://youtu.be/hH4L06uxcRU
The survey for my next project has been closed. I'll have a video posted shortly detailing the winner and my plans to create it!
This is the non electronic version of the R2-D2 robot I created here: https://pinshape.com/items/15477-3d-printed-r2d2-t...
I removed all of the parts specific to holding electronic components, and instead of using screws to hold the whole thing together, I made little cylindrical connectors. You can see those in the ""extras"" file.
The tallest ones are used to connect the body to the arms/legs. The mid sized ones are used to connect the butt plate to the middle leg. The smaller ones are used to connect the body to the butt plate. These connectors should be pretty tight so they'll probably hold pretty well but some simple glue will make them stick together if it's not staying.
The head will just slide on, and once you turn it, it should fall into a groove so the head can rotate but it shouldn't fall off easily.
Also I have not actually printed this myself, so let me know if there are any issues while you're trying to print and I'll attempt to fix them. But everything should be printable at 0.3mm layer height and all the supports needed are already on the models. Also this model should be scalable to some degree. The pegs make it hard to do so, but you should be fine downsizing it a bit.
I hope you enjoy this model! Post if you make one!",31002,ChaosCoreTech
0,15535,Gobekli Tepe Building C,"A reproduction, scale 1:100 (1 centimeter in the model is equal to 1 meter in reality), of the building “C” in the archaeological site of Gobekli Tepe near Sanliurfa (Turkey). The settlement was discovered by a German archaeological team under the direction of Klaus Schmidt in 1996. The site is dated between the 10th millennium and the 9th millennium BCE. Göbekli Tepe is regarded as an archaeological discovery of the greatest importance since it could profoundly change the understanding of a crucial stage in the development of human society. 3D print the most ancient and mysterious megalithic settlement! Dimensions are 150 x 170 x 45 mm.",16145,Castomized
0,15536,Voltivo Christmas Reindeer,"Print Rudolph for your Christmas tree. Great little Ornament to print with your kids!
Version with, or without logo provided.
Clips together with no glue required. For ease of use just choose one of the complete print plates.
Merry Christmas from the Voltivo Team!
Looks great in Voltivo ExcelFil Bling Gold, Arctic Silver ABS/PLA or ExcelFil Tech Aluminum or Wood.",17586,Voltivo
0,15537,Berkas Battery LED-Lamp,"I needed a lamp when i repair and tune my rc-car. And i needed it to easy to bring to races, so i made my own. To assemble it you need some kind of battery-holder for 8 1.5V batterys, 4 M3x20 bolts with nuts, a small switch, 45cm LED-stripe and some electrical wire.",17232,andreas_bergkvist
0,15538,Tuna Strainer,"This is a kitchen utensil to aid the opening and drainage process of tinned tuna, or any other tinned item ie fruit, beans etc.
Designed by James Bliss and Dan Southern
Registered Design - 4026455",47009,jamesbliss1
0,15539,Samsung NX mini Hard Case,Open file so costumize as you will,42817,sohl
0,15540,light stand wing knob - 5 mm,Sparepart for light stand - wing knob - 5mm,42817,sohl
0,15541,Deskpot,"Nice desk flowerpot for your desk.
Version 2 is an updated version with a water reservoir and lid - as well as a base for the plant roots are not constantly standing in water
Scale up to 160mm wide for best results",42817,sohl
0,15542,continues trikker for Samsung NX Mini,continues trikker for Samsung NX Mini,42817,sohl
0,15543,Samsung Lense cap 9mm,Samsung Lense cap 9mm,42817,sohl
0,15544,Machiners Cube,SummaryThis thing was made with Tinkercad. Edit it online https://www.tinkercad.com/things/aDtMKN392Hk,44545,JOHN BENZ
0,15545,Split Chassis Plates for OpenRC F1,"Everything in the OpenRC F1 project by Daniel Norée was printable on my Lulzbot Mini 3D printer aside from the Front and Rear chassis plates.
I had to make a modification to the chassis plates in order to get them to print. Because I was making this model as a display unit, I did not have to take into account the placement of electronics and so on. I also thought about gluing the plates back together but I decided on using the same hardware as needed to assemble the project.
The bed of my printer is 6""x6"" and all of the split chassis plates fit.
Each hole was counter sunk on the underside like each of the other holes for the project assembly. I had no issues printing these split chassis plates and they snapped together as they should once I was done! They also appear to be very strong still. You could glue and bolt the half's together if you'd like. I just used the bolts.
Hardware Needed:
4x M3x8mm Machine Screws
4x M3 Hex Nuts
Instructions:
You will need to print 1 of each part. There are 2 parts per chassis plate (front/rear). You will have 4 parts in total.
Assemble with M3x8mm screws and M3 nuts. The same used all over the project for assembly.
Snap the front chassis plate into the rear chassis plate using the 45/45 joint
ENJOY!!
* These chassis plates are a modification of the ones supplied with the OpenRC Formula 1 project. The project can be found here.
* As of December 21, 2015, these plates have not been tested with the electronics needed to make this a Radio Controlled car and they have only been used for a Formula 1 display model.",36981,Chris Halliday
0,15546,Dishwasher Clean / Dirty Drop In Magnet,"SummaryAnother dishwasher magnet because why not... I had some old hard drive and cd drive magnets and an idea. About half way through printing the orange one I dropped in a few CD/DVD drive magnets (the small square ones) When the white one was done printing I cut one small slit in the corner at each end and slid in the magnets from the hard drive (thin curved magnets) The orientation should be correct for printing (see pic) Standing up and at a angle. Print SettingsPrinter Brand: PrintrbotPrinter: Simple BlackRafts: YesSupports: NoResolution: .1984Notes: Printing at a diagonal from the x and y axis allows the print head to move out of the way enough to slide the square magnets into the rounded ends. Wait till it is about half way through or the auto leveler might suck the magnet back out if it gets too close. The hot end is hot, don't burn yourself.",40103,Jeremy Stenseth
0,15547,Christmas Soap Dispenser,"SummaryHoliday soap dispensers for use with a Dial pump(not the foaming pump).The snowman printed fine but I haven't printed the tree yet and I am not sure I will. Note: This is more of an experiment to see what happens to pla when in contact with regular hand soap. I will keep this updated with what I find. If you try this as well or if this has already been done please let me know. Thanks and enjoy.Print SettingsPrinter Brand: PrintrbotPrinter: Simple BlackRafts: YesSupports: YesResolution: .2Infill: 15Notes: I used MatterControl for this print. I changed Outer Surface Perimeters Count to 3. Support Material Amount Minimum 20 degrees. Turn on Support Everywhere - This should produce some support on the inside. Temp 199. The snowman you could print at 100% infill but I would print the Christmas tree with 15-25% infill because the inside is dished and 100% would use a ton of filiment.Post-PrintingI used a screw driver to knock loose the support material and long needle nose pliers to pull it out. Threads fit the pump from a regular Dial 7.5 ounce soap dispenser (Not the foaming pump) I trimmed about 1"" off of the bottom of the tube on the pump",40103,Jeremy Stenseth
0,15548,Carolina Panthers Cookie Cutter,SummaryCookie Cutter of the Panthers Logo. Designed this myself as the others I found were lacking!Print SettingsPrinter Brand: PrintrbotPrinter: Simple BlackRafts: NoSupports: NoResolution: .2 micronInfill: 10%Notes: I did 3 solid layers on the top and bottom,24086,Dereks_ideas
0,15549,roll support prusaI3,Summaryroll support prusaI3,47026,giampiero_proh
0,15550,support the bowl water for rabbit cage,Summarysupport the bowl water for rabbit cage,47026,giampiero_proh
0,15552,Berkas Iphone Stand,"SummaryThis is my own design. I culdn´t find a desktop holder for my Iphone 6s+ that fitted my phone with the case on. So i designed my own. It bolts together with an M6x30 bolt and a nut Print SettingsPrinter Brand: RepRapPrinter: Prusa I3 Boxed FrameRafts: Doesn't MatterSupports: YesResolution: 0,2 mm Layer heightInfill: 30%Notes: I printed this in PLA",17232,andreas_bergkvist
0,15553,Record Display,I noticed a Kickstarter for a similar product but didn't think it was worth paying more than the material cost just for a simple display like this.  Enjoy!  This is still  a work in progress so any feedback as to the fit would be great since I'm too busy to get these set up on my wall.,3761,mmoestre
0,15555,The Yardbirds,"The Yardbirds Logo
Two files: One with a stand, one without a stand. (Pictured printed with ABS)
The Yardbirds are an English rock band formed in London in 1963 that had a string of hits during the mid-1960s, including ""For Your Love"", ""Over Under Sideways Down"" and ""Heart Full of Soul"". The group launched the careers of guitarists Eric Clapton, Jimmy Page and Jeff Beck, all of whom are in the top five of Rolling Stone's 100 Top Guitarists list
Please check out my other designs https://pinshape.com/users/16362-neilblue
Thanks",16362,Endless3D
0,15556,The Animals,"The Animals Logo
Two files: One with a stand, one without a stand. (Pictured printed with ABS)
The Animals were a British band of the 1960s, formed in Newcastle upon Tyne, England, during the early part of the decade. The band moved to London upon finding fame in 1964. The Animals were known for their gritty, bluesy sound and deep-voiced frontman Eric Burdon, as exemplified by their signature song and transatlantic No.1 hit single, ""The House of the Rising Sun"", as well as by hits such as ""We Gotta Get out of This Place"", ""It's My Life"", ""I'm Crying"" and ""Don't Let Me Be Misunderstood"". The band balanced tough, rock-edged pop singles against rhythm and blues-oriented album material.
Please check out my other designs https://pinshape.com/users/16362-neilblue
Thanks",16362,Endless3D
0,15557,thUndead Mini Quadcopter FPV Racer v1,"SummaryIntroducing the thUndead mini FPV Racer Quad Basic Specs: Frame Diameter: 250mm All up weight (see components list): 560 g Features: Lightweight!! (560g AUW in my current setup) 10 degree inclined motors for stupid speed and better FPV Adjustable FPV camera holder to 0 - 90 degrees Vibration damped upper level for FC & gear Vibration damped lower level for your camera (Mobius etc.) plenty of room for gear InstructionsMy current setup: Dys 1806 2300kv motors 12A ESCs 1300mAh 3S or 4S Turnigy Nano Techs 5x3"" three bladed props Quanton FC running Taulabs Mini power distro board with built in 12V reg. TS5823 5.8ghz Vtx Sony 600TLV PCB FPV cam Hobbyking E-OSD Mobius Camera Print material: PLA 1.75mm Base plates + arms = 70% infill Everything else = 35% infill To Do list: Come up with a better way of mounting battery (currently velcro which holds pretty good) Credits: Arm basic shape inspired by the Hammer Quad arms.",47083,thundead
0,15558,Stitch Action Figure Statue,Statue for Collector Stitch Action Figure based Character Stitch by movie Lilo and Stitch,28106,XeratDragons
0,15559,Yoda,"Star Wars Fan made Yoda statue sculpted in zbrush.
Scalable",24792,fabio_rizzo
0,15560,Love Star,Made star to test 3D printer.,47113,richard_campbell iii
0,15561,Snowman Ornament by MkrClub,"3D Snowman which prints easily as it is two flat parts which fit together - includes a small stand too.
Full Post here: http://www.mkrclub.com/2015/12/the-3d-printed-snowman-ornament.html",11245,Maker Club
0,15562,MkrClub Snowflake - 3-part tree ornament/decoration,"This is the 3 part snowflake tree ornament from MkrClub.com - easy to print, fun to put together. Hang as one 3D ornament or as 3 separate parts.
Full Post here: ",11245,Maker Club
0,15563,MkrClub Snowflake 2-part Tree ornament,"Simple snowflake design which can be put together with a second part (same part) to create a 3-dimensional tree ornament or shelf decoration.
Full Post Here:  ",11245,Maker Club
0,15564,round bracelet,i love making designs,47198,ashok kumar
0,15565,Cartoon Chipmunk. Christmas Edition,"3d-print ready 3d model of cartoon Chipmunk, 8cm tall. Available different file formats:
1. ""OBJ"" file
2. ""STL"" file,
3. ""WRL"" file +texture (for 3D Color Printing) avialable here",45570,voronartcom
0,15566,cable clip for 5 or 10 cables,"SummaryThis is a cable clip i designed to hold 5 or 10 UTP/FTP LAN cables. The idea is that you place multiple of these to guide some LAN cables on a board to a switch. It can hold cables from 3.5mm to 5.5mm. Use the below print settings for good flexibility: layer height: .2mm or .25mm shell thickness: 1.2mm bottom/top thickness: 0 micron fill density: 0% Use no support or platform adhesion. I printed 24 of these on a single plate. Print SettingsPrinter: Wanhao duplicator i3Rafts: NoSupports: NoResolution: 200Infill: noNotes: Best in PLA for flexibility, but will probably work in ABS or PC too. How I Designed This3dsmaxdesigned in 3dsmax 2015 using extruded splines and proboolean",47213,arjan_wiegel
0,15567,Christmas tree,"Decorative Christmas tree measuring approximately 82 x 56 x 114 mm.
You need supports for printing.",37365,Esanjuan
0,15568,Christmas tree ball,"Just in time for Christmas, a nice ball for your Christmas tree. Needs some supports, but they should be easy to remove.",20997,FSR3D
0,15569,Sigan Clone 190,"Using MadeSolid PET+ in Foret Green and Goldenrod.
I found that the screws snugged in tight enough not to need nuts and the MedsSolid filament doesn't split like ABS/PLA.  I designed a cage for the front to house the FPV camera using PET+ instead of the typical nylon or aluminum standoffs to take advantage of the filament strength...  Turned out nice and should be really strong with the MadeSolid PET+.  
- Print the files and install with 28x 6mm M3 bolts.
Original STL files by Florentf31 on Thingiverse; http://www.thingiverse.com/thing:1120168
The Original Sigan 180 and Sigan 250 were designed and are sold by Francis Marasigan at www.sigandrone.com   He uses high quality 3k Carbon Fibre twill for the top and bottom plates and your choice of color in ABS for the side skirting.   I HIGHLY recommend people buy the real thing!  ",25064,Sigil3D
0,15571,LEGO Brick 1X1-L,"This is a LEGO Brick 1X1 . The ""L"" means that the brick is long ( 1 long brick = 3 short bricks ) . The brick is similar with the brick 302201 , but it does not need to be white .",28712,VLAD-MARIUS
0,15572,LCD + Keypad box,"SummaryBox for LCD + Keypad, including the knobs. I changed the Y-pointer directions so the bed is now moving in the direction of the pointer.",47252,hdiesupport
0,15573,Mount opto-stop,"SummaryMount an opto-stop unit for the Z-ax to get an reliable zero-position for the extrudernozzle versus the bed. I used the opto-stop from Reprapworld.com which is quite cheap (€ 7,10) and very reliable. Can easily be mounted together with the Z-motor bracket. The opto-strip should be black or blackened for optimum result.",47252,hdiesupport
0,15574,Minions Keychain / Magnets -Christmas cute version,"Minions-Kevin、Stuart、Bob
Christmas cute version Design Tool:Tinkercad PLA Filament Change Multicolor Filament:Yellow → black → red → white → black → Silver 3D printer: Flashforge CREATOR More Printing Photos & Process: http://mingshiuan.blogspot.com/2015/12/3d.html",5682,mingshiuan
0,15575,Headphone stand.,"SummaryHeadphone stand with overhang to put my phone when I use my pc. Suitable for +-18mm thick table/desk. I made the bottom clip slanted a little for grip. Will try to redesign to reduce material by making it thin, or put more holes. Instructions1st part is just head phone stand with little overhang. 2nd is just the overhang extension, should fit a phone when combined.",47062,Fuad Mohd
0,15577,Rocket ship boosters & thrusters,"These are parts for my rocket ship design. 
https://pinshape.com/items/15579-3d-printed-modula...
The parts were printed without any support. 
The thruster might have printing issues when printing the top side. Just make sure you're printing slow enough, and with enough layering to have a nice top side. 
Happy printing.",47062,Fuad Mohd
0,15579,Modular Rocket Ship,"Modular Rocket Ship
I posted the thrusters and boosters up for free. Check those out and make a cute rocket. 
https://pinshape.com/items/15577-3d-printed-rocket...
I design this to be rocket ship playhouse. The top cover and main compartment of the rocket can be rotated or exchange  with any compartment designs (control room, bedroom, engine room etc). Same goes with the cover (antenna, satelite dish, etc).
The top can be remove to fit another chamber. Multiple compartments! They have slots at the bottom of the compartments so they wont fall off.
I'm designing different chambers and expansion compartments.
Printing: I used PLA.
1. I used support for the cover. (It should print fine without support, speed is key). Others don't need supp. 2. I printed the mount with 1 layer wall 10% infill. Lower the print speed at the up curve. This helps retain the up curve shape.(mine was a bit wobbly, not cooling fast enough).
3. Make sure the the print sticks flat to the platform. So that the grove and the holes of chamber and lid are aligned.
4. The mount, thrusters and boosters are all glued. 
Thank you for visiting. Post a comment. Happy printing.",47062,Fuad Mohd
0,15581,Santa Christmas Statue,"SummaryFor cerebration of Christmas, I try to make santa claus. I used no reference except my imagination. For that reason, model quality is quite low, but printed result was quite good, I think :) Merry ChristmasPrint SettingsPrinter: CREATABLE D2Rafts: NoSupports: YesResolution: x1.0Infill: 20%",45113,Despild
0,15582,Ugly Cat,"SummaryYou can test your printer about how printing long thin object well while printing tail of cat.How I Designed ThisI just want to make cat. But I got just few time. Finally, this ugly lovely cat comes out.",45113,Despild
0,15583,Front Arm Snowman,SummaryIt can be printed without support! Adding some bump noise on sphere for reality of snow and fur attached on santa hat Modeling with Blender 2.71 The rabbit in picture is here => http://www.thingiverse.com/thing:1170377,45113,Despild
0,15584,RB-MKIII SantaVersion,"SummaryFor coming Christmas I revision RB-MKIII(Pawn of "" http://www.thingiverse.com/thing:1119755 "") into Santa Version The snowman in picture is here => http://www.thingiverse.com/thing:1190918",45113,Despild
0,15585,Chess Rabbit Mark-III,"SummaryRabbit based Chess man set. The King is inspired from the iron throne of ""The game of thrones"". I printed these with following scale Pawns are scaled by 5.0 Knights, Bishops, Rooks are scaled by 5.5 King and Queen are scaled by 6.0 Colored with acrylic paint. Modeling with Blender 2.75aPrint SettingsRafts: NoSupports: NoResolution: 0.1Infill: 10Notes: Knight is needed to cut bottom little bit",45113,Despild
0,15586,USB Powered LED Flash Light,"SummaryUsing external smart phone battery, made USB Powered LED Flash Light. Also using with Laptop or Desktop USB connectors. Including key chain hole. Using Coper Tape for USB Connecting Pole",45113,Despild
0,15587,Herb Grinder (durable + printable redesign),"SummaryI found several grinders on this site that I could not get to print well from my fusematic (it would fall apart while i tried to clean excess away), so i designed one with more durable teeth that seems to work quite well.Instructionsprint it, clean excess, put the top and bottom together and grind away",47334,calvinmf1
0,15589,Mini Lightsaber - two parts,"Mini Lightsaber that has been split into two parts so that it will press together allowing freedom in the choice of different materials and colours. This would look great if finished with model paints and weathered to give it that scratched metal look.
Please share your makes, comments or suggestions if you have any.
Enjoy, Martin",28850,FORGE 3D
0,15590,Heart-shaped mug,"Length:85mm Width:70.78mm Height:73mm
To create a heartshaped three-dimensional shape of the mug,no longer are cylindrical cup, drinks and more on life in points cute little changed.",47357,qaz86620
0,15591,STORM FLAKE II - First Order - The Force Awakens,"Similar to my original STORM FLAKE design but now with the First Order symbol and Storm Trooper helmets from the recent Starwars film - The Force Awakens. They're actually growing on me and are starting to be my favorite..
Hope there's still time to get one on the tree this year!
Enjoy,
Martin",28850,FORGE 3D
0,15592,piston BMW,piston BMW car,45979,Василий_Кузьминых
0,15593,fixings,fasteners canopy crib,45979,Василий_Кузьминых
