,0,1,2,3
0,55,Flying Spaghetti Monster Holiday Ornament,I need an ornament to celebrate the heavenly pasta Lazzzorcut it! I then colored in the lines for the letters and the meatballs. (I prefer to think of them as veggie meatballs.) ,bre
0,56,Laser Extruder v1.0,This is a lasercut extruder for a RepRap machine.  I'll be posting instructions online soon. ,hoeken
0,57,PASCSR,"The Polyalphabetic Substitution Cipher Slide Rule.  This is a slide rule to assist with the ciphering and deciphering of polyalphabetically enciphered messages.  With it, you can learn a bit about how slide rules work and a bit about crypto at the same time!  It also has some added features that let you begin exploring strong crypto You can make two PSRs out of one piece of 12""x12"" material.  There's no waste leftover with this design!The PSR is essentially three pieces, the slide, the body and the indicator.  The body consists of a top and bottom stator which cradle the slide.  The indicator goes on top of the body and slide.Glue the top row of letters (top stator) and the bottom row of numbers (bottom stator) to the body.  Then glue together the indicator.  The indicator should slide over the base.  VoilÃ !  Now get to ciphering!The PDF should help make things clearer. ",nickfarr
0,60,Metawineglass,                             No information provided                                ,kintel
0,61,Heart shaped box,"A small container in the shape of a heart Build it with a RepRap and then give it to the one you love, preferably with something precious inside. ",nophead
0,63,24 Sided Sphere,I took a cube and i subsurfed it! InstructionsI have cunning and subtle plans for this shape! ,bre
0,64,Twisted star box,A small box ,kintel
0,69,Another Test,Testing the rendering engine.  No worries. ,hoeken
0,70,Miniature Vase,"A small vase for tiny flowers This design is sized for 1cm thick material!  You'll need to scale it properly before cutting.  My prototype is made of 1/4"" thick acrylic, so I scaled it by 54% before I sent it to the laser.  You'll probably need ~1ft.x3/4ft. of 1/4"" material to build this vase. ",phooky
0,72,Lathe Chuck Grip,Slips over an 80mm lathe chuck to make it easier to turn by hand when using the lathe to tap a thread. More details in my blog http://hydraraptor.blogspot.com/2008/11/new-toy.html. See the discussion about unsupported lintels Print it on your RepRap and use it. Make sure the power is disconnected when turning the chuck by hand. ,nophead
0,73,Bracelet,I'll make this once I get a reprap up and running!InstructionsPrint it! ,bre
0,74,CC Logo,TestingInstructionsUse for whatever you'd like ,mecredis
0,75,Decahedron,Decahedral Polywell Shape ,FAMULUS
0,76,Forktastic,"I was really hankering for some Ramen while at NYC Resistor recently and no one had any utensils including chopsticks. So Phooky and I whipped up in a few minutes this basic design, Threw it into the Epilog Laser Etcher, where by the end of 5 minutes we had a working utensil I used 1/8"" acrylic because if it's any thinner it'll break under normal use. I would recommend breaking out a heat gun and making a slight curving bend on the tangs so your food won't slide off as easily. I would recommend using a 7"" by 4"" inch piece with some scrap left over. If positioned right you can make 2. ",Eric
0,77,Caliper,"It's a caliper... just because I left mine in PA, this one will be safe for measuring the distance between live wires?Instructionsmake it, put a bolt on it to hold them together. ",davepix
0,84,Screw Top Pot,A small screw top pot originally designed to hold the lens adapter of a Fuji FinePix E900 camera. More details in my blog: http://hydraraptor.blogspot.com/2008/09/screw-top-pot.htmlInstructionsPrint it on a RepRap and use it. It can be scaled to different sizes. The lid will need inverting to print. The pk2 source file is for CoCreate. ,nophead
0,85,Sky Hook,A hook with a bearing to suspend a basket of plastic to feed a RepRap machine. Full details in my blog: http://hydraraptor.blogspot.com/2008/11/sky-hook.htmlInstructionsPrint the plastic parts. Make sure the plastic is hot enough to not de-laminate under tension. You don't want it to drop a few Kg of plastic onto your machine! I recommend 240C for ABS and HDPE. Cut the support membrane out of the large hole in the housing with a penknife.Thread the barbs through a 608 skate bearing by crossing them over each other. Insert the locking piece and drop the bearing into the housing. Screw it into a ceiling joist.Note that the close up pictures show a three screw hole housing but the STL file has a two hole version more suitable for ceiling joists. ,nophead
0,86,rosa,                             No information provided                                ,rosa
0,87,Tree Crutch,"Fits on the end of a pole to support the overladen branches of a fruit tree. More details in my blog: http://hydraraptor.blogspot.com/2008/08/bearing-fruit.htmlInstructionsPrint as many as you need on a <a href=\""RepRap"">http://reprap.org\"">RepRap and use them to support tree branches. I used HDPE. ",nophead
0,88,Utility Meter Key,"I don't know if this is international but in the UK modern homes have gas and electricity meters on the outside of the house that need a triangular key to be accessed. Easy to lose, so here is one you can make in about 25 minutes Print in on a RepRap and use it to read your own meters. ",nophead
0,90,Cityscape Ring,"This is a two part cityscape ring. I usually cut them in acrylic, but they also look badass in wood.The file here is a size 7 ring, but its easy to swap out the inside circles. Once you get up to about 8.5 you may run into trouble with the walls being too thin, widening the design should fix that Step 1, FIRE THE LASER (vector cut)Step 2, enjoy!You are welcome to make one of these for yourself or a friend, but please don't sell them.If you'd like a ring of your own, you can order one from my Etsy shop, http://kfarrell.etsy.com . And buying a ring supports me so I can make more designs to upload. It's a wonderful cycle. ",kellbot
0,91,Untitled,                             No information provided                                ,dave
0,92,Rawr-saur,A good saur for lazzzoring ,dino-girl
0,93,Long Saur,make these into bones and make the bones into the skeleton ,dino-girl
0,94,Paris,"When the dinosaurs return, they'll need something to destroy... what's better than the eifel tower? ",dino-girl
0,95,Saur saur,It's a saur's saurInstructionslazzzor it! ,dino-girl
0,96,Thingisaur,Yup it's a saur and it's a thingInstructionslazzzor it! ,dino-girl
0,97,Grill-Saur,This is a saur that can get up in your grillInstructionslazzzor this thing! ,dino-girl
0,98,Belt Trick,"This is a remake of something that my Dad made when I was a kid. His version was made of wood. Its cool because it makes the belt look like it is defeating gravity!InstructionsYou can make this of either thin wood or acrylic. My version was cut out of acrylic on a laser cutter.If you have a laser cutter, simply load it with the material you want to cut and send the eps file to the laser cutter.If you don't have a laser cutter, print out the eps on a printer and trace the pattern onto a piece of wood and cut it out with whatever tools you have.To use it, place the belt into the notch, then hold the other end up with a finger or other object. ",Spikenzie
